,Unnamed: 0,company_name,Date,Share Type,Amount Raised,Raised to Date,Issue Price,Post Money Valuation,Key Investors,Price Per Share,Shares Outstanding,Percent Shares Outstanding,Liquidation Pref Order,Liquidation Pref As Multiplier,Conversion Ratio,Participating,Participation Cap,Dividend Rate,Cumulative,Investors
443,443,outreach,May 2021,Series G,$201.03MM,$490.86MM,$29.27,$4.44B,"Premji Invest, STEADFAST Capital Ventures, Tiger Global Management",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
444,444,outreach,Jun 2020,Series F,$50MM,$289.83MM,$9.83,$1.34B,"Sands Capital, Salesforce Ventures, Operator Collective",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
445,445,outreach,Apr 2019,Series E,$113.73MM,$239.83MM,$9.18,$1.1B,"Lone Pine Capital, Meritech Capital Partners, Lemonade Capital",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
446,446,outreach,May 2018,Series D,$65MM,$126.1MM,$4.99,$515MM,"DFJ Growth, Calterra Capital, M12",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
447,447,outreach,May 2017,Series C,$30MM,$61.1MM,$2.41,$200MM,"DFJ Growth, Four Rivers Group, Mayfield Fund",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
448,448,outreach,Jun 2016,Series B,$17.36MM,$31.1MM,$1.15,$86.12MM,"M12, Mayfield Fund, Floodgate Fund",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
449,449,outreach,Oct 2015,Series A,$9.2MM,$13.74MM,$0.64,$32.72MM,"Mayfield Fund, Floodgate Fund, MHS Capital",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
450,450,outreach,May 2015,Series Seed-1,$2.72MM,$4.54MM,$0.28,$7.28MM,"Floodgate Fund, Founders' Co-op, MHS Capital",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
451,451,outreach,Nov 2012,Series Seed,$1.82MM,$1.82MM,$0.31,$5.6MM,"Three Point Group, Founders' Co-op",$0.31,"5,843,782",32.5%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Three Point Group, Founders' Co-op"
452,452,thrive-market,Jul 2021,Series C,$86.38MM,$301.33MM,$24.60,$1.29B,"Mamoon Hamid, Kleiner Perkins, Owl Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
453,453,thrive-market,Jul 2018,Series B-4,$64.05MM,$214.95MM,$13.33,$668.69MM,"GS Retail Co., Bridge Capital, Runway Venture Partners",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
454,454,thrive-market,Jun 2016,Series B,$90MM,$129.8MM,$13.33,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
455,455,thrive-market,Jun 2016,Series B-1,$3.79MM,$43.58MM,$11.85,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
456,456,thrive-market,Jun 2016,Series B-2,$2.8MM,$42.6MM,$11.33,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
457,457,thrive-market,Jun 2016,Series B-3,$14.52MM,$54.32MM,$10.66,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
458,458,thrive-market,Jul 2015,Series A,$33.54MM,$33.54MM,$6.65,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
459,459,thrive-market,Jul 2015,Series A-3,$4.45MM,$4.45MM,$5.32,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
460,460,thrive-market,Jul 2015,Series A-2,$584.97K,$584.97K,$0.53,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
461,461,thrive-market,Jul 2015,Series A-1,$1.23MM,$1.23MM,$0.27,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
462,462,reltio,Nov 2021,Series E,$120MM,$237.4MM,$21.78,$1.65B,"Brighton Park Capital, Crosslink Capital, NewView Capital",$1.22,"8,449,549",30.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Crosslink Capital, .406 Ventures"
463,463,reltio,May 2018,Series D,$45MM,$117.4MM,$7.60,$421.06MM,"NEA, Crosslink Capital, .406 Ventures",$1.22,"8,449,549",30.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Crosslink Capital, .406 Ventures"
464,464,reltio,Apr 2017,Series C,$40.25MM,$72.4MM,$5.29,$259.93MM,"NEA, Sapphire Ventures, Crosslink Capital",$1.22,"8,449,549",30.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Crosslink Capital, .406 Ventures"
465,465,reltio,Jul 2016,Series B,$21.85MM,$32.15MM,$2.57,$96.78MM,"NEA, Crosslink Capital, .406 Ventures",$1.22,"8,449,549",30.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Crosslink Capital, .406 Ventures"
466,466,reltio,Mar 2015,Series A,$10.3MM,$10.3MM,$1.22,$34.33MM,"Crosslink Capital, .406 Ventures",$1.22,"8,449,549",30.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Crosslink Capital, .406 Ventures"
467,467,netskope,Jul 2021,Series H,$300MM,$1.05B,$20.45,$7.53B,"ICONIQ Capital, Lightspeed Venture Partners, Accel",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
468,468,netskope,Feb 2020,Series G,$349.82MM,$749.92MM,$8.37,$2.81B,"Accel, Base Partners, Canada Pension Plan Investment Board",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
469,469,netskope,Nov 2018,Series F,$168.7MM,$400.1MM,$5.45,$1.36B,"ICONIQ Capital, Accel, Lightspeed Venture Partners",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
470,470,netskope,Apr 2017,Series E,$100MM,$231.4MM,$2.64,$534.77MM,"ICONIQ Capital, Accel, Lightspeed Venture Partners",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
471,471,netskope,Sep 2015,Series D,$75MM,$131.4MM,$2.24,$348.22MM,"ICONIQ Capital, Accel, Lightspeed Venture Partners",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
472,472,netskope,May 2014,Series C,$35.01MM,$56.41MM,$1.45,$192.84MM,"Accel, Lightspeed Venture Partners, Social Capital",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
473,473,netskope,Oct 2013,Series B,$15.9MM,$21.4MM,$0.76,$67.21MM,"Lightspeed Venture Partners, Social Capital",$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
474,474,netskope,Nov 2012,Series A,$5.5MM,$5.5MM,$0.38,$27.5MM,Undisclosed investors,$0.38,"14,545,452",20.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed investors
475,475,mirantis,Nov 2019,Series X,$15MM,$176.15MM,$3.70,$702.22MM,Undisclosed Investors,$0.34,"26,568,427",30.9%,1st,1.0x,1.0x,Participating,2.0,8.0%,Non-cumulative,"Intel Capital, Dell Ventures, WestSummit Capital"
476,476,mirantis,Aug 2015,Series B-2,$75MM,$161.15MM,$3.70,$687.22MM,"August Capital, Ericsson, Insight Venture Partners",$0.34,"26,568,427",30.9%,1st,1.0x,1.0x,Participating,2.0,8.0%,Non-cumulative,"Intel Capital, Dell Ventures, WestSummit Capital"
477,477,mirantis,Oct 2014,Series B-1,$67.09MM,$86.15MM,$2.23,$292.5MM,"Insight Venture Partners, August Capital, Dell Ventures",$0.34,"26,568,427",30.9%,1st,1.0x,1.0x,Participating,2.0,8.0%,Non-cumulative,"Intel Capital, Dell Ventures, WestSummit Capital"
478,478,mirantis,Jun 2013,Series A-2,$9.95MM,$19.06MM,$0.71,$74.5MM,"Eastven Venture Partners, Red Hat, SAP Ventures",$0.34,"26,568,427",30.9%,1st,1.0x,1.0x,Participating,2.0,8.0%,Non-cumulative,"Intel Capital, Dell Ventures, WestSummit Capital"
479,479,mirantis,Jan 2013,Series A-1,$9.11MM,$9.11MM,$0.34,$29.5MM,"Intel Capital, Dell Ventures, WestSummit Capital",$0.34,"26,568,427",30.9%,1st,1.0x,1.0x,Participating,2.0,8.0%,Non-cumulative,"Intel Capital, Dell Ventures, WestSummit Capital"
480,480,formlabs,May 2021,Series E,$150MM,$256.35MM,$89.53,$2B,SoftBank,$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
481,481,formlabs,Aug 2018,Series D,$15MM,$106.35MM,$49.91,$1.02B,New Enterprise Associates,$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
482,482,formlabs,Apr 2018,Series C,$30MM,$91.35MM,$41.42,$795.56MM,"Tyche Partners, DFJ Growth, Pitango Venture Capital",$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
483,483,formlabs,Aug 2016,Series B,$40.63MM,$61.35MM,$14.67,$289.48MM,"Foundry Group, Autodesk, E14 Fund Management",$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
484,484,formlabs,Oct 2013,Series A,$19.19MM,$20.71MM,$7.30,$111.48MM,"DFJ Growth, Pitango Venture Capital, SOSV",$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
485,485,formlabs,Nov 2011,Series Seed,$1.52MM,$1.52MM,$0.44,$4.34MM,"SOSV, Kapor Capital, Kima Ventures",$0.44,"3,479,841",35.0%,2nd,1.0x,1.0x,Non-participating,,7.0%,Non-cumulative,"SOSV, Kapor Capital, Kima Ventures, Innovation Endeavors, Acequia Capital, Adrian Aoun, Elad Gil, Charlie Songhurst, Fritz Lanman, Jeremie Berrebi, Joi Ito, Mitchell Kapor, Dror Berman"
486,486,scribd,Nov 2019,Series E,$25MM,$74.54MM,$13.80,$429.65MM,Spectrum Equity,$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
487,487,scribd,Jan 2015,Series D,$23.13MM,$49.54MM,$6.25,$167.83MM,"Khosla Ventures, Charles River Ventures, Redpoint Ventures",$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
488,488,scribd,Jan 2011,Series C-2,$5.08MM,$19.11MM,$3.78,$83.76MM,"MLC Investments, SVB Capital, Redpoint Ventures",$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
489,489,scribd,Jan 2011,Series C-1,$7.31MM,$21.33MM,$3.78,$83.76MM,"MLC Investments, SVB Capital, Redpoint Ventures",$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
490,490,scribd,Sep 2009,Series B,$10.09MM,$14.02MM,$1.96,$38.22MM,"Charles River Ventures, Redpoint Ventures, Kinsey Hills Group",$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
491,491,scribd,Jun 2007,Series A,$3.93MM,$3.93MM,$1.48,$19.65MM,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen",$1.48,"2,650,180",20.0%,5th,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Redpoint ventures, Kinsey Hills Group, Marc Andreessen, Jeff Jordan, David Sacks, Craig Sherman"
492,492,aspiration,Dec 2022,Series C-5,$156MM,$423.15MM,$23.30,$3.13B,Undisclosed Investors,$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
493,493,aspiration,Nov 2021,Series C-4,$49MM,$267.15MM,$25.86,$2.08B,"Jovono, Footprint Coalition, Deep Field Asset Management",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
494,494,aspiration,May 2020,Series C-1,$95.89MM,$163.8MM,$13.62,$1.04B,"Alpha Edison, UBS O'Connor, DNS Capital",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
495,495,aspiration,May 2020,Series C-3,$22.86MM,$90.77MM,$11.57,$1.04B,"Alpha Edison, UBS O'Connor, DNS Capital",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
496,496,aspiration,May 2020,Series C-2,$31.49MM,$99.4MM,$9.08,$1.04B,"Alpha Edison, UBS O'Connor, DNS Capital",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
497,497,aspiration,Dec 2017,Series B-1,$37.41MM,$57.6MM,$7.05,$403.73MM,"Allen and Company, Omidyar Network, Alpha Edison",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
498,498,aspiration,Dec 2017,Series B-5,$485.51K,$20.68MM,$6.35,$403.73MM,"Allen and Company, Omidyar Network, Alpha Edison",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
499,499,aspiration,Dec 2017,Series B-4,$5.97MM,$26.17MM,$3.17,$403.73MM,"Allen and Company, Omidyar Network, Alpha Edison",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
500,500,aspiration,Dec 2017,Series B-3,$3.6MM,$23.8MM,$2.73,$403.73MM,"Allen and Company, Omidyar Network, Alpha Edison",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
501,501,aspiration,Dec 2017,Series B-2,$255.93K,$20.45MM,$2.16,$403.73MM,"Allen and Company, Omidyar Network, Alpha Edison",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
502,502,aspiration,Sep 2015,Series A,$17.7MM,$20.2MM,$1.85,$78.95MM,"Renren, GSV Capital, Capricorn Investment Group",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
503,503,aspiration,Aug 2015,Series Seed,$2.5MM,$2.5MM,$0.33,$7.14MM,"Pomeroy Capital, AGO Partners, James Meeks",$0.33,"7,500,000",35.0%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Pomeroy Capital, AGO Partners, James Meeks, Alex Pomeroy, Walid Gardezi"
504,504,buffer,Oct 2014,Series A,$3.5MM,$3.98MM,$4.57,$58.37MM,"Collaborative Fund, Base Ventures, Red Swan Venures",$0.47,"1,018,968",9.6%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Aayush Phumbra, David Hauser, Erik Moore, Upslope Ventures, Inspiration Ventures, and Others"
505,505,buffer,Dec 2011,Series AA,$480.65K,$480.65K,$0.47,$5MM,"Aayush Phumbra, David Hauser, Erik Moore",$0.47,"1,018,968",9.6%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"Aayush Phumbra, David Hauser, Erik Moore, Upslope Ventures, Inspiration Ventures, and Others"
506,506,docker,Mar 2022,Series C,$105MM,$163MM,$31.26,$2.1B,"Bain Capital Ventures, Atlassian Ventures, Citi Ventures",$1.46,"23,998,903",46.5%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Benchmark Capital, Insight Partners"
507,507,docker,Mar 2021,Series B,$23MM,$58MM,$6.52,$327.9MM,"Tribe Capital, Benchmark Capital, Insight Partners",$1.46,"23,998,903",46.5%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Benchmark Capital, Insight Partners"
508,508,docker,Nov 2019,Series A,$35MM,$35MM,$1.46,$75.22MM,"Benchmark Capital, Insight Partners",$1.46,"23,998,903",46.5%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Benchmark Capital, Insight Partners"
509,509,sifive,Mar 2022,Series F,$175MM,$365.6MM,$7.24,$2.5B,"Coatue Management, Intel Capital",$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
510,510,sifive,Aug 2020,Series E,$61MM,$190.6MM,$1.78,$571.82MM,"SK Hynix, Prosperity7 Ventures, Sutter Hill Ventures",$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
511,511,sifive,Jun 2019,Series D,$65.43MM,$129.6MM,$1.53,$330.06MM,"Sutter Hill Ventures, Spark Capital, Qualcomm Ventures",$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
512,512,sifive,May 2018,Series C,$50.61MM,$64.17MM,$0.82,$113.65MM,"Sutter Hill Ventures, Spark Capital, Osage University Partners",$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
513,513,sifive,May 2017,Series B,$8.5MM,$13.56MM,$0.44,$28.53MM,"Spark Capital, Sutter Hill Ventures, Osage University Partners",$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
514,514,sifive,Sep 2015,Series A,$5.06MM,$5.06MM,$0.31,$12.66MM,Sutter Hill Ventures,$0.31,"16,200,000",40.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Sutter Hill Ventures
515,515,aviatrix,Feb 2021,Series D,$101.08MM,$183.09MM,$7.22,$782.51MM,"General Catalyst, Greenspring Associates, Meritech Capital",$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
516,516,aviatrix,Oct 2019,Series C,$46MM,$82MM,$3.73,$339.25MM,"CRV, Formation 8, Ignition Partners",$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
517,517,aviatrix,Jan 2017,Series B,$25.25MM,$36MM,$1.06,$66.75MM,"CRV, Formation 8, Ignition Partners",$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
518,518,aviatrix,Feb 2015,Series A,$10MM,$10.75MM,$0.77,$24.47MM,"Formation 8, Ignition Partners",$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
519,519,aviatrix,Sep 2021,Series E,$200MM,$383.09MM,$16.94,$2B,"TCV, Insight Partners, Tiger Global Management",$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
520,520,aviatrix,Sep 2014,Series Seed,$753.94K,$753.94K,$0.34,$4.86MM,Monta Vista Capital,$0.34,"2,233,884",15.5%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Monta Vista Capital
521,521,airspace-technologies,May 2022,Series C-1,$70MM,$139.5MM,$7.98,$411.48MM,"DBL Partners, Telstra Ventures, HarbourVest Partners",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
522,522,airspace-technologies,Jan 2021,Series C,$39.25MM,$69.5MM,$5.24,$220.57MM,"Telstra Ventures, HarbourVest Partners, Scale Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
523,523,airspace-technologies,Nov 2018,Series B,$20MM,$30.25MM,$2.69,$90.8MM,"Scale Venture Partners, Defy, Qualcomm Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
524,524,airspace-technologies,Aug 2018,Series A-1,$6.5MM,$8.77MM,$0.79,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
525,525,airspace-technologies,Aug 2018,Series A-2,$738.31K,$3.01MM,$0.63,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
526,526,airspace-technologies,Aug 2018,Series A-3,$739.55K,$3.01MM,$0.59,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
527,527,airspace-technologies,Jun 2017,Series Seed,$2.28MM,$2.28MM,$0.59,$7.58MM,Undisclosed Investors,$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
528,528,good-eggs,Mar 2023,Series DD,$7MM,$175.64MM,$0.62,$22.04MM,Glade Brook Capital,$3.81,"4,100,000",55.0%,2nd,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"Baseline Ventures, Collaborative Fund, Westly Group, Correlation Ventures, New Island Capital, Max Ventilla, Mitch Kapor"
